seq;freq_ratio;hamonic;amp_ratio;track;freq;amp;newflag
1;0;-1;0;0;47964.8;0;-1
1;0;-1;0;1;198.098;0;-1
1;0;-1;0;2;147.175;0;-1
1;0;-1;0;3;684.054;0;-1
1;0;-1;0;4;292.455;0;-1
1;0;-1;0;5;481.213;0;-1
1;0;-1;0;6;2279.64;0;-1
1;0;-1;0;7;48.3118;0;-1
1;0;-1;0;8;104.853;0;-1
1;0;-1;0;9;568.101;0;-1
1;0;-1;0;10;1153.62;0;-1
1;0;-1;0;11;574.923;0;-1
1;0;-1;0;12;1412.21;0;-1
1;0;-1;0;13;391.532;0;-1
1;0;-1;0;14;496.469;0;-1
1;0;-1;0;15;364.292;0;-1
1;0;-1;0;16;280.737;0;-1
1;0;-1;0;17;608.782;0;-1
1;0;-1;0;18;2519.45;0;-1
1;0;-1;0;19;25.2345;0;-1
2;0.000526168;-1;0;19;25.2345;0;-1
2;0.00100736;-1;0;7;48.3118;0;-1
2;0.00218631;-1;0;8;104.853;0;-1
2;0.00306878;-1;0;2;147.175;0;-1
2;0.00413057;-1;0;1;198.098;0;-1
2;0.00585369;-1;0;16;280.737;0;-1
2;0.00609802;-1;0;4;292.455;0;-1
2;0.00759591;-1;0;15;364.292;0;-1
2;0.00816389;-1;0;13;391.532;0;-1
2;0.0100339;-1;0;5;481.213;0;-1
2;0.0103519;-1;0;14;496.469;0;-1
2;0.0118456;-1;0;9;568.101;0;-1
2;0.0119878;-1;0;11;574.923;0;-1
2;0.0126938;-1;0;17;608.782;0;-1
2;0.0142633;-1;0;3;684.054;0;-1
2;0.0240543;-1;0;10;1153.62;0;-1
2;0.0294462;-1;0;12;1412.21;0;-1
2;0.0475332;-1;0;6;2279.64;0;-1
2;0.0525334;-1;0;18;2519.45;0;-1
2;1;1;1;0;47959;4.24381E-008;0
3;0.000526038;-1;0;19;25.2345;0;-1
3;0.00100711;-1;0;7;48.3118;0;-1
3;0.00218577;-1;0;8;104.853;0;-1
3;0.00306802;-1;0;2;147.175;0;-1
3;0.00412955;-1;0;1;198.098;0;-1
3;0.00585225;-1;0;16;280.737;0;-1
3;0.00609652;-1;0;4;292.455;0;-1
3;0.00759403;-1;0;15;364.292;0;-1
3;0.00816188;-1;0;13;391.532;0;-1
3;0.0100314;-1;0;5;481.213;0;-1
3;0.0103494;-1;0;14;496.469;0;-1
3;0.0118426;-1;0;9;568.101;0;-1
3;0.0119849;-1;0;11;574.923;0;-1
3;0.0126907;-1;0;17;608.782;0;-1
3;0.0142598;-1;0;3;684.054;0;-1
3;0.0240484;-1;0;10;1153.62;0;-1
3;0.0294389;-1;0;12;1412.21;0;-1
3;0.0475215;-1;0;6;2279.64;0;-1
3;0.0525205;-1;0;18;2519.45;0;-1
3;1;1;1;0;47970.8;2.30138E-007;0
4;0.000526039;-1;0;19;25.2345;0;-1
4;0.00100711;-1;0;7;48.3118;0;-1
4;0.00218577;-1;0;8;104.853;0;-1
4;0.00306803;-1;0;2;147.175;0;-1
4;0.00412956;-1;0;1;198.098;0;-1
4;0.00585226;-1;0;16;280.737;0;-1
4;0.00609654;-1;0;4;292.455;0;-1
4;0.00759405;-1;0;15;364.292;0;-1
4;0.0081619;-1;0;13;391.532;0;-1
4;0.0100314;-1;0;5;481.213;0;-1
4;0.0103494;-1;0;14;496.469;0;-1
4;0.0118427;-1;0;9;568.101;0;-1
4;0.0119849;-1;0;11;574.923;0;-1
4;0.0126907;-1;0;17;608.782;0;-1
4;0.0142598;-1;0;3;684.054;0;-1
4;0.0240485;-1;0;10;1153.62;0;-1
4;0.029439;-1;0;12;1412.21;0;-1
4;0.0475216;-1;0;6;2279.64;0;-1
4;0.0525206;-1;0;18;2519.45;0;-1
4;1;1;1;0;47970.7;5.60686E-007;0
5;0.000526169;-1;0;19;25.2345;0;-1
5;0.00100736;-1;0;7;48.3118;0;-1
5;0.00218631;-1;0;8;104.853;0;-1
5;0.00306878;-1;0;2;147.175;0;-1
5;0.00413058;-1;0;1;198.098;0;-1
5;0.00585371;-1;0;16;280.737;0;-1
5;0.00609804;-1;0;4;292.455;0;-1
5;0.00759592;-1;0;15;364.292;0;-1
5;0.00816391;-1;0;13;391.532;0;-1
5;0.0100339;-1;0;5;481.213;0;-1
5;0.010352;-1;0;14;496.469;0;-1
5;0.0118456;-1;0;9;568.101;0;-1
5;0.0119878;-1;0;11;574.923;0;-1
5;0.0126938;-1;0;17;608.782;0;-1
5;0.0142634;-1;0;3;684.054;0;-1
5;0.0240544;-1;0;10;1153.62;0;-1
5;0.0294463;-1;0;12;1412.21;0;-1
