seq;freq_ratio;harmonic;amp_ratio;track;freq;amp;newflag
1;0;-1;0;0;0;0;-1
1;0;-1;0;1;0;0;-1
1;0;-1;0;2;0;0;-1
1;0;-1;0;3;0;0;-1
1;0;-1;0;4;0;0;-1
1;0;-1;0;5;0;0;-1
1;0;-1;0;6;0;0;-1
1;0;-1;0;7;0;0;-1
1;0;-1;0;8;0;0;-1
1;0;-1;0;9;0;0;-1
1;0;-1;0;10;0;0;-1
1;0;-1;0;11;0;0;-1
1;0;-1;0;12;0;0;-1
1;0;-1;0;13;0;0;-1
1;0;-1;0;14;0;0;-1
1;0;-1;0;15;0;0;-1
1;0;-1;0;16;0;0;-1
1;0;-1;0;17;0;0;-1
1;0;-1;0;18;0;0;-1
1;0;-1;0;19;0;0;-1
2;0;-1;0;1;0;0;-1
2;0;-1;0;2;0;0;-1
2;0;-1;0;3;0;0;-1
2;0;-1;0;4;0;0;-1
2;0;-1;0;5;0;0;-1
2;0;-1;0;6;0;0;-1
2;0;-1;0;7;0;0;-1
2;0;-1;0;8;0;0;-1
2;0;-1;0;9;0;0;-1
2;0;-1;0;10;0;0;-1
2;0;-1;0;11;0;0;-1
2;0;-1;0;12;0;0;-1
2;0;-1;0;13;0;0;-1
2;0;-1;0;14;0;0;-1
2;0;-1;0;15;0;0;-1
2;0;-1;0;16;0;0;-1
2;0;-1;0;17;0;0;-1
2;0;-1;0;18;0;0;-1
2;0;-1;0;19;0;0;-1
2;1;1;1;0;47967.8;2.16275E-009;0
3;0;-1;0;1;0;0;-1
3;0;-1;0;2;0;0;-1
3;0;-1;0;3;0;0;-1
3;0;-1;0;4;0;0;-1
3;0;-1;0;5;0;0;-1
3;0;-1;0;6;0;0;-1
3;0;-1;0;7;0;0;-1
3;0;-1;0;8;0;0;-1
3;0;-1;0;9;0;0;-1
3;0;-1;0;10;0;0;-1
3;0;-1;0;11;0;0;-1
3;0;-1;0;12;0;0;-1
3;0;-1;0;13;0;0;-1
3;0;-1;0;14;0;0;-1
3;0;-1;0;15;0;0;-1
3;0;-1;0;16;0;0;-1
3;0;-1;0;17;0;0;-1
3;0;-1;0;18;0;0;-1
3;0;-1;0;19;0;0;-1
3;1;1;1;0;47976.6;5.02469E-008;0
4;0;-1;0;1;0;0;-1
4;0;-1;0;2;0;0;-1
4;0;-1;0;3;0;0;-1
4;0;-1;0;4;0;0;-1
4;0;-1;0;5;0;0;-1
4;0;-1;0;6;0;0;-1
4;0;-1;0;7;0;0;-1
4;0;-1;0;8;0;0;-1
4;0;-1;0;9;0;0;-1
4;0;-1;0;10;0;0;-1
4;0;-1;0;11;0;0;-1
4;0;-1;0;12;0;0;-1
4;0;-1;0;13;0;0;-1
4;0;-1;0;14;0;0;-1
4;0;-1;0;15;0;0;-1
4;0;-1;0;16;0;0;-1
4;0;-1;0;17;0;0;-1
4;0;-1;0;18;0;0;-1
4;0;-1;0;19;0;0;-1
4;1;1;1;0;47970.7;1.60807E-007;0
5;0;-1;0;1;0;0;-1
5;0;-1;0;2;0;0;-1
5;0;-1;0;3;0;0;-1
5;0;-1;0;4;0;0;-1
5;0;-1;0;5;0;0;-1
5;0;-1;0;6;0;0;-1
5;0;-1;0;7;0;0;-1
5;0;-1;0;8;0;0;-1
5;0;-1;0;9;0;0;-1
5;0;-1;0;10;0;0;-1
5;0;-1;0;11;0;0;-1
5;0;-1;0;12;0;0;-1
5;0;-1;0;13;0;0;-1
5;0;-1;0;14;0;0;-1
5;0;-1;0;15;0;0;-1
5;0;-1;0;16;0;0;-1
5;0;-1;0;17;0;0;-1
5;0;-1;0;18;0;0;-1
5;0;-1;0;19;0;0;-1
5;1;1;1;0;47976.6;3.2928E-007;0
6;0;-1;0;1;0;0;-1
6;0;-1;0;2;0;0;-1
6;0;-1;0;3;0;0;-1
6;0;-1;0;4;0;0;-1
6;0;-1;0;5;0;0;-1
6;0;-1;0;6;0;0;-1
6;0;-1;0;7;0;0;-1
6;0;-1;0;8;0;0;-1
6;0;-1;0;9;0;0;-1
6;0;-1;0;10;0;0;-1
6;0;-1;0;11;0;0;-1
6;0;-1;0;12;0;0;-1
6;0;-1;0;13;0;0;-1
6;0;-1;0;14;0;0;-1
6;0;-1;0;15;0;0;-1
6;0;-1;0;16;0;0;-1
6;0;-1;0;17;0;0;-1
6;0;-1;0;18;0;0;-1
6;0;-1;0;19;0;0;-1
6;1;1;1;0;47959;5.49343E-007;0
7;0;-1;0;1;0;0;-1
7;0;-1;0;2;0;0;-1
7;0;-1;0;3;0;0;-1
7;0;-1;0;4;0;0;-1
7;0;-1;0;5;0;0;-1
7;0;-1;0;6;0;0;-1
7;0;-1;0;7;0;0;-1
7;0;-1;0;8;0;0;-1
7;0;-1;0;9;0;0;-1
7;0;-1;0;10;0;0;-1
7;0;-1;0;11;0;0;-1
7;0;-1;0;12;0;0;-1
7;0;-1;0;13;0;0;-1
7;0;-1;0;14;0;0;-1
7;0;-1;0;15;0;0;-1
7;0;-1;0;16;0;0;-1
7;0;-1;0;17;0;0;-1
7;0;-1;0;18;0;0;-1
7;0;-1;0;19;0;0;-1
7;1;1;1;0;47976.6;8.12546E-007;0
8;0;-1;0;1;0;0;-1
8;0;-1;0;2;0;0;-1
8;0;-1;0;3;0;0;-1
8;0;-1;0;4;0;0;-1
8;0;-1;0;5;0;0;-1
8;0;-1;0;6;0;0;-1
8;0;-1;0;7;0;0;-1
8;0;-1;0;8;0;0;-1
8;0;-1;0;9;0;0;-1
8;0;-1;0;10;0;0;-1
8;0;-1;0;11;0;0;-1
8;0;-1;0;12;0;0;-1
8;0;-1;0;13;0;0;-1
8;0;-1;0;14;0;0;-1
8;0;-1;0;15;0;0;-1
8;0;-1;0;16;0;0;-1
8;0;-1;0;17;0;0;-1
8;0;-1;0;18;0;0;-1
8;0;-1;0;19;0;0;-1
8;1;1;1;0;47970.7;1.10866E-006;0
9;0;-1;0;2;0;0;-1
9;0;-1;0;3;0;0;-1
9;0;-1;0;4;0;0;-1
9;0;-1;0;5;0;0;-1
9;0;-1;0;6;0;0;-1
9;0;-1;0;7;0;0;-1
9;0;-1;0;8;0;0;-1
9;0;-1;0;9;0;0;-1
9;0;-1;0;10;0;0;-1
9;0;-1;0;11;0;0;-1
9;0;-1;0;12;0;0;-1
9;0;-1;0;13;0;0;-1
9;0;-1;0;14;0;0;-1
9;0;-1;0;15;0;0;-1
9;0;-1;0;16;0;0;-1
9;0;-1;0;17;0;0;-1
9;0;-1;0;18;0;0;-1
9;0;-1;0;19;0;0;-1
9;1;1;1;1;944.82;3.69593E-005;0
9;50.7599;51;0.0385947;0;47959;1.42643E-006;0
10;0;-1;0;2;0;0;-1
10;0;-1;0;3;0;0;-1
10;0;-1;0;4;0;0;-1
10;0;-1;0;5;0;0;-1
10;0;-1;0;6;0;0;-1
10;0;-1;0;7;0;0;-1
10;0;-1;0;8;0;0;-1
10;0;-1;0;9;0;0;-1
10;0;-1;0;10;0;0;-1
10;0;-1;0;11;0;0;-1
10;0;-1;0;12;0;0;-1
10;0;-1;0;13;0;0;-1
10;0;-1;0;14;0;0;-1
10;0;-1;0;15;0;0;-1
10;0;-1;0;16;0;0;-1
10;0;-1;0;17;0;0;-1
10;0;-1;0;18;0;0;-1
