seq;freq_ratio;harmonic;amp_ratio;track;freq;amp;newflag;;;
1;0;-1;0;0;826.504;0;-1;;;
1;0;-1;0;1;16606.6;0;-1;;;
1;0;-1;0;2;18185.1;0;-1;;;
1;0;-1;0;3;6579.27;0;-1;;;
1;0;-1;0;4;18387.8;0;-1;;;
1;0;-1;0;5;16454.6;0;-1;;;
1;0;-1;0;6;1255.54;0;-1;;;
1;0;-1;0;7;47966.4;0;-1;;;
1;0;-1;0;8;1407.17;0;-1;;;
1;0;-1;0;9;14131;0;-1;;;
1;0;-1;0;10;9354.91;0;-1;;;
1;0;-1;0;11;5900.39;0;-1;;;
1;0;-1;0;12;11965.1;0;-1;;;
1;0;-1;0;13;5881.46;0;-1;;;
1;0;-1;0;14;762.572;0;-1;;;
1;0;-1;0;15;4695.19;0;-1;;;
1;0;-1;0;16;15488.6;0;-1;;;
1;0;-1;0;17;5950.17;0;-1;;;
1;0;-1;0;18;16538.6;0;-1;;;
1;0;-1;0;19;1323.37;0;-1;;;
2;0.0172336;-1;0;0;826.504;0;-1;;;
2;0.346267;-1;0;1;16606.6;0;-1;;;
2;0.379181;-1;0;2;18185.1;0;-1;;;
2;0.137186;-1;0;3;6579.27;0;-1;;;
2;0.383409;-1;0;4;18387.8;0;-1;;;
2;0.343098;-1;0;5;16454.6;0;-1;;;
2;0.0261796;-1;0;6;1255.54;0;-1;;;
2;1;1;1;7;47958.8;8.14913E-009;0;;;
2;0.0293413;-1;0;8;1407.17;0;-1;;;
2;0.294649;-1;0;9;14131;0;-1;;;
2;0.195061;-1;0;10;9354.91;0;-1;;;
2;0.12303;-1;0;11;5900.39;0;-1;;;
2;0.249486;-1;0;12;11965.1;0;-1;;;
2;0.122636;-1;0;13;5881.46;0;-1;;;
2;0.0159006;-1;0;14;762.572;0;-1;;;
2;0.0979005;-1;0;15;4695.19;0;-1;;;
2;0.322956;-1;0;16;15488.6;0;-1;;;
2;0.124068;-1;0;17;5950.17;0;-1;;;
2;0.344849;-1;0;18;16538.6;0;-1;;;
2;0.0275939;-1;0;19;1323.37;0;-1;;;
3;0.0172272;-1;0;0;826.504;0;-1;;;
3;0.346138;-1;0;1;16606.6;0;-1;;;
3;0.37904;-1;0;2;18185.1;0;-1;;;
3;0.137135;-1;0;3;6579.27;0;-1;;;
3;0.383267;-1;0;4;18387.8;0;-1;;;
3;0.342971;-1;0;5;16454.6;0;-1;;;
3;0.0261699;-1;0;6;1255.54;0;-1;;;
3;1;1;1;7;47976.6;7.21884E-008;0;;;
3;0.0293304;-1;0;8;1407.17;0;-1;;;
3;0.29454;-1;0;9;14131;0;-1;;;
3;0.194989;-1;0;10;9354.91;0;-1;;;
3;0.122985;-1;0;11;5900.39;0;-1;;;
3;0.249394;-1;0;12;11965.1;0;-1;;;
3;0.12259;-1;0;13;5881.46;0;-1;;;
3;0.0158947;-1;0;14;762.572;0;-1;;;
3;0.0978642;-1;0;15;4695.19;0;-1;;;
3;0.322836;-1;0;16;15488.6;0;-1;;;
3;0.124022;-1;0;17;5950.17;0;-1;;;
3;0.344721;-1;0;18;16538.6;0;-1;;;
3;0.0275837;-1;0;19;1323.37;0;-1;;;
4;0.0172336;-1;0;0;826.504;0;-1;;;
4;0.346266;-1;0;1;16606.6;0;-1;;;
4;0.37918;-1;0;2;18185.1;0;-1;;;
4;0.137185;-1;0;3;6579.27;0;-1;;;
4;0.383408;-1;0;4;18387.8;0;-1;;;
4;0.343097;-1;0;5;16454.6;0;-1;;;
4;0.0261795;-1;0;6;1255.54;0;-1;;;
4;1;1;1;7;47959;1.9769E-007;0;;;
4;0.0293412;-1;0;8;1407.17;0;-1;;;
4;0.294648;-1;0;9;14131;0;-1;;;
4;0.195061;-1;0;10;9354.91;0;-1;;;
4;0.12303;-1;0;11;5900.39;0;-1;;;
4;0.249485;-1;0;12;11965.1;0;-1;;;
4;0.122635;-1;0;13;5881.46;0;-1;;;
4;0.0159005;-1;0;14;762.572;0;-1;;;
4;0.0979001;-1;0;15;4695.19;0;-1;;;
4;0.322955;-1;0;16;15488.6;0;-1;;;
4;0.124068;-1;0;17;5950.17;0;-1;;;
4;0.344848;-1;0;18;16538.6;0;-1;;;
4;0.0275938;-1;0;19;1323.37;0;-1;;;
5;0.0172294;-1;0;0;826.504;0;-1;;;
5;0.346181;-1;0;1;16606.6;0;-1;;;
