#seq, freq_ratio, harmonic, amp_ratio, tracknum, f, amp, newflag, env, pitch,note
0,0,0,0,0,0,0,0,0,0,0
1,9.47955,-1,0.127655,0,232.185,1.8719e-05,0,24.0806,0,87.3354
1,15.6213,16,0.0543979,1,382.616,7.97675e-06,0,24.0806,0,87.3354
1,21.9343,22,0.0645894,2,537.243,9.47121e-06,0,24.0806,0,87.3354
1,9.12344,9,0.192457,3,223.462,2.82213e-05,0,24.0806,0,87.3354
1,6.98361,7,0.386536,4,171.051,5.66805e-05,0,24.0806,0,87.3354
1,26.9935,27,0.0392287,5,661.156,5.75239e-06,0,24.0806,0,87.3354
1,23.6642,24,0.0525802,6,579.613,7.71021e-06,0,24.0806,0,87.3354
1,35.8681,36,0.0338905,7,878.525,4.96961e-06,1,24.0806,0,87.3354
1,4.31643,-1,0.0643842,8,105.723,9.44112e-06,0,24.0806,0,87.3354
1,11.1724,11,0.115738,9,273.649,1.69715e-05,0,24.0806,0,87.3354
1,1,1,1,10,24.4932,0.000146637,0,24.0806,0,87.3354
1,5.69627,-1,0.317868,11,139.52,4.66113e-05,0,24.0806,0,87.3354
1,17.248,17,0.109344,12,422.458,1.60339e-05,0,24.0806,0,87.3354
1,2.51128,-1,0.905032,13,61.5093,0.000132711,0,24.0806,0,87.3354
1,13.3516,13,0.0809728,14,327.023,1.18736e-05,0,24.0806,0,87.3354
1,11.8389,12,0.0803113,15,289.974,1.17766e-05,0,24.0806,0,87.3354
1,29.2227,29,0.0335038,16,715.757,4.91291e-06,0,24.0806,0,87.3354
1,66.667,67,0.0373259,17,1632.89,5.47336e-06,0,24.0806,0,87.3354
1,19.3918,19,0.0475049,18,474.968,6.96598e-06,0,24.0806,0,87.3354
1,14.5266,-1,0.0993184,19,355.803,1.45638e-05,0,24.0806,0,87.3354
2,9.40712,-1,0.11826,0,233.966,1.63518e-05,0,24.003,0,87.3354
2,15.3414,15,0.0535718,1,381.559,7.40735e-06,0,24.003,0,87.3354
2,21.6013,22,0.0684899,2,537.25,9.47007e-06,0,24.003,0,87.3354
2,9.10502,9,0.202471,3,226.452,2.79957e-05,0,24.003,0,87.3354
2,6.89199,7,0.402233,4,171.412,5.56167e-05,0,24.003,0,87.3354
2,26.6158,27,0.0399081,5,661.967,5.51808e-06,0,24.003,0,87.3354
2,23.2557,23,0.0543514,6,578.397,7.51515e-06,0,24.003,0,87.3354
2,19.0837,19,0.0352648,7,474.635,4.87605e-06,1,24.003,0,87.3354
2,4.1302,-1,0.0887513,8,102.723,1.22716e-05,0,24.003,0,87.3354
